aspect,phrase,polarity,review
Schindler's List,a three hour film that feels too short,positive,"It is rare achievement, but ""Schindler's List"" is a three hour film that feels too short."
Tom Cruise,Valkyrie,neutral,"As mentioned before, the theme also touches redemption, another film with appropriateness of the theme is probably Valkyrie by Tom Cruise, another movie about soldier who collaborated with some of his superiors to kill Adolph Hitler, the character felt redemption after what happened at the war; the only solution to end the chaos is turn against his regime."
Adolph Hitler,the character felt redemption after what happened at the war,neutral,"As mentioned before, the theme also touches redemption, another film with appropriateness of the theme is probably Valkyrie by Tom Cruise, another movie about soldier who collaborated with some of his superiors to kill Adolph Hitler, the character felt redemption after what happened at the war; the only solution to end the chaos is turn against his regime."
look,"stunning to look at, excellently written and very well directed",positive,"Its stunning to look at, excellently written and very well directed."
Liam Neeson,electrifying performances,positive,I do wish to single out Liam Neeson & Ralph Fiennes for electrifying performances.
Ralph Fiennes,electrifying performances,positive,I do wish to single out Liam Neeson & Ralph Fiennes for electrifying performances.
action sequences,with a finesse,positive,"They made the action sequences with a finesse, and connected you to all characters during the whole film, even during massive fight scenes."
lighting and,great use of lighting and using black and white film,positive,"excellent movie, great use of lighting and using black and white film to illustrate the story was great...."
black and white film,great use of lighting,positive,"excellent movie, great use of lighting and using black and white film to illustrate the story was great...."
cartoon CGI,not much cartoon CGI. But freaking exhausting,negative,"Visually impressive, not much cartoon CGI. But freaking exhausting: there was only like a couple of lines of dialogue in the whole movie."
characters,they are so insignificant,negative,"The characters are very disappointing, they are so insignificant and the main character is the worst part of the movie."
main character,the worst part of the movie,negative,"The characters are very disappointing, they are so insignificant and the main character is the worst part of the movie."
Schindler's List,I gave in and I watched it,neutral,"A few months ago when a friend of mine suggested that I watch Schindler's List, and I wasn't too keen on the sound of it, but eventually after repeated attempts for him to get me to watch it, I gave in and I watched it."
lead stars,boring and mostly grunt,negative,The lead stars are boring and mostly grunt rather than speak.
George Miller,George Miller gets another shot at an Academy Award,neutral,"I am not mad, in fact, I love the fact that George Miller gets another shot at an Academy Award."
Academy,George Miller gets another shot at an Academy Award,neutral,"I am not mad, in fact, I love the fact that George Miller gets another shot at an Academy Award."
landscape,the dialog,neutral,The landscape is about as interesting as the dialog.
dialog,The landscape is about as interesting,neutral,The landscape is about as interesting as the dialog.
Steven Spielberg,both exciting and a work of art,positive,Steven Spielberg and Steven Zaillian produced a film which is both exciting and a work of art.
Steven Zaillian,exciting and a work of art,positive,Steven Spielberg and Steven Zaillian produced a film which is both exciting and a work of art.
Schindler's List,its portrayal of the Holocaust,neutral,My problem with Schindler's List is its portrayal of the Holocaust.
Fury Roadhouse,very Thunderdome,neutral,"Fury Roadhouse is very Thunderdome, should never have been made."
Yahudi soykirimini,anlatan harika bir,neutral,Yahudi soykirimini anlatan harika bir film herkesin izlemesi gerektigini düsünüyorum.
Steven Spielberg,a masterpiece,positive,This movie is a masterpiece of Steven Spielberg.
Tom Hardy,absolutely amazing,positive,First let me start by saying Tom Hardy did absolutely amazing as usual along with the rest of the amazing cast.
cast,Tom Hardy did absolutely amazing,positive,First let me start by saying Tom Hardy did absolutely amazing as usual along with the rest of the amazing cast.
Acting,action scenes are done in a very good way,positive,"Acting is one of best i seen from entire year,characters are brilliantly written and they had a lot of personality and good arcs,script was also written in such a way that it will have many people queting it in a future,entire look of a film,colors and the way how it was filmed was brilliant,action scenes are done in a very good way,not on level of Inception but still very good."
script,brilliantly written,positive,"Acting is one of best i seen from entire year,characters are brilliantly written and they had a lot of personality and good arcs,script was also written in such a way that it will have many people queting it in a future,entire look of a film,colors and the way how it was filmed was brilliant,action scenes are done in a very good way,not on level of Inception but still very good."
look,action scenes are done in a very good way,positive,"Acting is one of best i seen from entire year,characters are brilliantly written and they had a lot of personality and good arcs,script was also written in such a way that it will have many people queting it in a future,entire look of a film,colors and the way how it was filmed was brilliant,action scenes are done in a very good way,not on level of Inception but still very good."
colors,entire look of a film,neutral,"Acting is one of best i seen from entire year,characters are brilliantly written and they had a lot of personality and good arcs,script was also written in such a way that it will have many people queting it in a future,entire look of a film,colors and the way how it was filmed was brilliant,action scenes are done in a very good way,not on level of Inception but still very good."
action scenes,in a very good way,positive,"Acting is one of best i seen from entire year,characters are brilliantly written and they had a lot of personality and good arcs,script was also written in such a way that it will have many people queting it in a future,entire look of a film,colors and the way how it was filmed was brilliant,action scenes are done in a very good way,not on level of Inception but still very good."
